Key,SourceString,Comment
"gamemode_any","所有",""
"gamemode_deathmatch","死斗",""
"gamemode_description_deathmatch","[对战]在可无限重生的对局中为了最多的杀敌数而战",""
"gamemode_dtas","动态夺取和保护(DTAS)",""
"gamemode_description_dtas","[对战]两支队伍在地图上随机位置出生。 一旦防守方放置了旗帜，攻击方必须定位并占领旗帜区域。",""
"gamemode_hostagerescue","人质救援",""
"gamemode_description_hostagerescue","[对战] 一名队友被建筑物内的防守者劫持为人质。小队必须找到自己的队友，并将他们带到撤离地点",""
"gamemode_intelretrieval","情报回收",""
"gamemode_description_intelretrieval","[单人/合作]在数个疑似位置之一搜索情报设备，然后安全将其带回标记的撤离点。",""
"gamemode_teamelimination","团队歼灭",""
"gamemode_description_teamelimination","[PvP]消灭对手的团队，可使用单人和团体重生",""
"gamemode_terroristhunt","猎杀恐怖分子",""
"gamemode_description_terroristhunt","[单人/合作]在行动区域内搜寻并消灭预设数量的恐怖分子",""
"gamemode_training","训练",""
"gamemode_description_training","[单人/合作]在训练设施的多个训练场和射击场单独或组队练习射击和CQB等技能。",""
"gamemode_uplink","进攻/守护固定设备",""
"gamemode_description_uplink","[对战]防御方在几个可能的位置之一保护情报设备，作为攻击方必须找到并破解它才能获胜",""
"gamemode_defuse","拆除炸弹",""
"gamemode_description_defuse","[单人/合作] 在计时器耗尽之前找到并拆除所有炸弹",used in mission selection screen
"gamemode_mission","战役",""
"gamemode_description_mission","[单人/合作] 具有多个任务目标的战役。",shouldn't be needed but here for completeness
"missionsetting_timeofday","进入时间","Opsboard"
"missionsetting_trainingtimeofday","设定本地时间","Opsboard"
"missionsetting_roundtime","时间限制","Opsboard"
"missionsetting_roundtime_5","5 分钟","Opsboard"
"missionsetting_roundtime_10","10 分钟","Opsboard"
"missionsetting_roundtime_15","15 分钟","Opsboard"
"missionsetting_roundtime_20","20 分钟","Opsboard"
"missionsetting_roundtime_25","25 分钟","Opsboard"
"missionsetting_roundtime_30","30 分钟","Opsboard"
"missionsetting_roundtime_35","35 分钟","Opsboard"
"missionsetting_roundtime_40","40 分钟","Opsboard"
"missionsetting_roundtime_45","45 分钟","Opsboard"
"missionsetting_roundtime_50","50 分钟","Opsboard"
"missionsetting_roundtime_55","55 分钟","Opsboard"
"missionsetting_roundtime_60","60 分钟","Opsboard"
"missionsetting_difficulty","敌人等级","Opsboard"
"missionsetting_difficulty_0","自定义","Opsboard"
"missionsetting_difficulty_1","乌合之众","Opsboard"
"missionsetting_difficulty_2","受过训练的","Opsboard"
"missionsetting_difficulty_3","有经验的","Opsboard"
"missionsetting_difficulty_4","老兵","Opsboard"
"missionsetting_opforcount","预期敌人数量","Opsboard"
"missionsetting_quickteamkits","快速团队装备","Opsboard"
"missionsetting_quickteamkits_0","无限制","Opsboard"
"missionsetting_quickteamkits_1","沙色对黑色","Opsboard"
"missionsetting_quickteamkits_2","素色对迷彩","Opsboard"
"missionsetting_quickteamkits_3","蓝对红","Opsboard"
"missionsetting_minplayers","最小玩家数",""
"aisetting_maxturnrate","AI转身的速度(度/秒)",""
"aisetting_maxsprintturnrate","AI奔跑时的转身速度(度/秒)",""
"aisetting_suppressionrecoveryrate","压制状态恢复速度（每秒减少的压制值）",""
"aisetting_ontargetthreshold","视为"瞄准目标"的角度范围限制(+/- 度数)",""
"aisetting_centerofmassbone","AI 用于瞄准的角色"质量中心"骨骼名",""
"aisetting_maxtimeontarget","从发现玩家开始，到时间偏差为0所需的时间（秒）——距离偏差始终保留",""
"aisetting_maxtimedeviation","玩家刚被发现时，AI 瞄准可能出现的最大偏差角度（度）",""
"aisetting_maxdistancedeviation","由于距离产生的最大偏差角度（度）",""
"aisetting_mindistanceforpenalty","达到最小距离惩罚的标准（厘米）",""
"aisetting_maxdistanceforpenalty","达到最大距离惩罚的标准（厘米）",""
"aisetting_aimerrorupdateinterval","AI 瞄准误差更新频率（每隔多久更新一次）",""
"aisetting_reactiontimebase","AI 对感知目标的基础反应时间（秒）",""
"aisetting_reactiontimerandom","基础反应时间的随机化范围（±秒）",""
"aisetting_maxsemiautoburst","AI 在半自动模式下连续射击的最大弹数",""
"aisetting_minfullautoburst","AI 在全自动模式下连续射击的最小弹数",""
"aisetting_maxfullautoburst","AI 在全自动模式下连续射击的最大弹数",""
"aisetting_mindelaybetweenbursts","每轮连发后，开始下一轮连发前的最小延迟时间",""
"aisetting_maxdelaybetweenbursts","每轮连发后，开始下一轮连发前的最大延迟时间",""
"aisetting_leanchance","AI 在可侧身时尝试侧身的概率（0.0 - 1.0）",""
"aisetting_tracerfrequency","AI 发射曳光弹的频率（0 = 使用武器默认值，1 = 每发，2 = 每两发……）",""
"aisetting_muzzleflashprobability","AI 开火是否有枪口焰的概率（0.0 = 从不，1.0 = 总是，-1.0 = 使用默认）",""
"gamemessage_trainingresupplynow","靶场回合已重置\r\n记得在武器台补给装备。",""
"MissionComplete","任务完成","AAR"
"MissionFailed","任务失败","AAR"
"MissionCompletePVP","胜利","AAR"
"MissionFailedPVP","失败","AAR"
"summary_TimeRanOut","任务时间已到","AAR"
"tag_coop","合作",""
"tag_pvp","对战",""
"tag_team","团队",""
"tag_train","训练",""
"ingamemap_timeofday","本地时间",""
"ingamemap_timeremaining","剩余时间",""
"element_alpha","Alpha",""
"element_bravo","Bravo",""
"element_charlie","Charlie",""
"element_delta","Delta",""
"missiontime_predawn","黎明前",""
"missiontime_sunrise","日出",""
"missiontime_postsunrise","日出后",""
"missiontime_earlymorning","清晨",""
"missiontime_midmorning","上午",""
"missiontime_latemorning","晚晨",""
"missiontime_midday","中午",""
"missiontime_earlyafternoon","下午早些时候",""
"missiontime_midafternoon","下午",""
"missiontime_lateafternoon","下午晚些时候",""
"missiontime_presunset","日落前",""
"missiontime_sunset","日落",""
"missiontime_postsunset","日落后",""
"missiontime_evening","晚上",""
"missiontime_lateevening","深夜",""
"missiontime_midnight","午夜",""
"missiontime_earlyhours","凌晨",""
"missiontime_custom","自定义",""
"gamerule_AllowCheats","允许作弊",""
"gamerule_AllowDeadChat","允许死亡聊天",""
"gamerule_AllowUnrestrictedRadio","允许不受限制的电台",""
"gamerule_AllowUnrestrictedVoice","允许不受限制的语音",""
"gamerule_SpectateEnemies","观察视角跟随队友",""
"gamerule_SpectateForceFirstPerson","强制第一人称观察",""
"gamerule_SpectateFreeCam","自由摄像机观察",""
"gamerule_UseTeamRestrictions","使用衣服限制",""
"gamerule_UseFriendlyNameTags","使用友军名字标签",""
"gamerule_RestrictFiringRange","关闭射击场",""
"gamerule_AllowEnemyNPCMinimapBlips","允许小地图标记敌方NPC",""
"gameruleinfo_AllowCheats","玩家可以在多人游戏中使用作弊功能，例如无敌、隐藏等",""
"gameruleinfo_AllowDeadChat","死亡的玩家可以与仍在游戏中的玩家对话",""
"gameruleinfo_AllowUnrestrictedRadio","任何队伍的玩家都可以通过电台互相对话",""
"gameruleinfo_AllowUnrestrictedVoice","观众和准备室中的玩家可以通过本地语音与游戏中的玩家对话",""
"gameruleinfo_SpectateEnemies","观众可以跟随非己方队伍的玩家",""
"gameruleinfo_SpectateForceFirstPerson","观众不能使用第三人称视角",""
"gameruleinfo_SpectateFreeCam","观众可以自由飞行观察",""
"gameruleinfo_UseTeamRestrictions","玩家只能使用服务器允许的皮肤",""
"gameruleinfo_UseFriendlyNameTags","如果友军足够靠近并且注视他们片刻，屏幕上会显示友军的名字",""
"gameruleinfo_RestrictFiringRange","关闭准备室的射击场入口，防止进入",""
