"Key","SourceString"
"AddModContent","添加模组内容"
"BackupFiles","备份您的文件！放置在 StagedMod 文件夹中的文件可能会被意外删除，因此请务必将原始文件保存在其他地方。"
"ChangeFolderLocationTitle","更改文件夹位置"
"ChangeLocationLabel","更改位置"
"ChangeNotesHint","..."
"ChangeNotesLabel","更改说明："
"ChangeStagedModFolder","通常您不需要更改 Staged Mod 文件夹，但文件夹路径中的 Unicode 或其他特殊字符可能会导致上传工坊时出现问题"
"ClearContentsTitle","清除内容？"
"ConfirmResetStagedModMessage","点击确定以删除并重新创建 StagedMod 文件夹。\n\n注意：所有内容将会丢失！"
"ConvertMissionsMessage","检测到任务。是否更新暂存模组文件夹中使用游戏模式的任务，以使用（新创建的）模组版本的游戏模式？"
"ConvertMissionsTitle","转换任务"
"CreateFolderLabel","创建文件夹"
"CreateNewMod","创建新模组"
"CreatePrefix","创建 "
"CreateStagedModFolderFailedMessage","创建 StagedMod 文件夹失败。请检查文件夹写入权限、磁盘空间和防病毒设置。"
"CreatingModInWorkshop","正在工坊中创建模组…"
"CreatingNewMod","正在创建新模组"
"CustomThumbnailDetected","检测到自定义缩略图！"
"CustomThumbnailHowTo","要使用自定义缩略图，请将您的 200x200 像素艺术作品另存为 'thumbnail.png'（或 .jpg）放到 StagedMod 文件夹中。"
"DeleteStagedModContentsFailedMessage","删除 StagedMod 文件夹及其内容失败。请检查文件夹写入权限和防病毒设置，或手动删除该文件夹。"
"DescriptionHint","让社区了解您的模组包含什么。\n如果可以请详细说明——用户会感激的。"
"DescriptionLabel","描述："
"DetectedContentLabel","检测到的内容"
"FillInMetadata","填写元数据"
"FolderSuffix"," 文件夹"
"InvalidFolderPathMessage","无法更新 Staged Mod 文件夹路径，因为指定的路径不存在"
"InvalidFolderPathTitle","无效的文件夹路径"
"LocationLabel","位置："
"LogInToSteamAccount","登录 Steam 账户"
"MainDescription","快速将非资源类模组（如补丁、游戏模式、任务、修改器、文本本地化等）上传到 Steam 工坊。对于其他类型的模组，请使用模组工具包（可通过 Epic Games Launcher 获取）。"
"MainHeading","创建不需要 GROUND BRANCH SDK 的模组，包含补丁、游戏模式、任务、修改器、文本本地化等数据。对于其他类型的模组，请使用独立 SDK。"
"ModCreatedSuccessfullyMessage","您的模组已成功创建并上传！\n\n如果您希望模组在 GROUND BRANCH 工坊页面中可见，您需要手动将可见性更改为"公开"。\n\n现在查看模组信息页面？"
"ModCreationFailed","无法在工坊中创建新模组。"
"ModTitleLabel","模组标题："
"ModUploadFailedMessage","模组创建/上传过程因未知原因失败。如果您愿意，可以重试。"
"ModUploadFailedWithId","模组 ID {0} 上传失败！"
"ModUploadedWithId","模组 ID {0} 成功上传！"
"NoItemSelectedMessage","未选择任何工坊物品。操作已取消。"
"NoItemSelectedTitle","未选择物品"
"NotReadyForUpload","尚未准备好上传。"
"OpenFolderLabel","打开文件夹"
"OperationFailedTitle","操作失败"
"ReadyToUpload","准备上传。"
"ReadyToUploadReplacingMod","准备上传（替换模组 ID {0}）。"
"ProceedToReplaceModMessage","创建新模组将替换当前选择的现有模组。\n继续？"
"ReplaceExistingMod","替换现有模组？"
"RequiredFieldMarker"," * "
"RequiredParameter","此属性为必填项。"
"ResetFolderLabel","重置文件夹"
"ResetModMessage","点击确定以重置 StagedMods 文件夹并从头开始。"
"ResetModTitle","重置模组？"
"SelectDifferentModMessage","您确定要选择不同于当前工坊物品的另一个吗？"
"SelectDifferentModTitle","选择不同的模组"
"SelectModTitle","选择模组"
"SelectModToReplaceLabel","选择要替换的模组"
"StagedModFolderName","StagedMod"
"StartAgainLabel","重新开始"
"SteamLoggedIn","已登录！"
"SteamNotLoggedIn","未登录"
"SteamStatusLabel","状态："
"Step1","步骤 #1"
"Step2","步骤 #2"
"Step3","步骤 #3"
"Step4","步骤 #4"
"Step5","步骤 #5"
"Step6","步骤 #6"
"ThumbnailLabel","缩略图"
"ThumbnailSizeInvalid","您的自定义缩略图需要是 200x200 像素！"
"UploadFailedTitle","上传失败"
"UploadSuccessfulTitle","上传成功"
"UploadToWorkshop","上传到工坊"
"UploadingInProgressLabel","上传中…"
"UploadingModWithId","正在上传模组 ID {0}…"
"UsingDefaultThumbnail","使用默认缩略图"
"ViewInWorkshopLabel","在工坊中查看"
"ViewProfileLabel","查看资料"
"ViewWorkshopItemsLabel","查看工坊物品"
"WorkshopIdLabel","工坊 ID："
"WorkshopTags","Mutator, GameMode, Mission, Localization, AILoadout, Patch"
"WorkshopTagsLabel","工坊标签"
