Key,SourceString
"MaxPlayers","最大玩家数"
"MaxPlayersToolTip","允许加入此服务器的最大玩家数量。"
"MaxSpectators","最大旁观者数"
"MaxSpectatorsToolTip","可以纯粹作为旁观者加入服务器的最大人数。"
"ServerMOTD","服务器每日消息"
"ServerMOTDToolTip","每日消息（最多512个字符）。"
"ServerName","服务器名称"
"ServerNameToolTip","服务器名称（最多64个字符）。"
"ServerPassword","服务器密码"
"ServerPasswordToolTip","加入服务器所需的密码。"
"ServerShutdownGracePeriod","服务器关闭宽限期"
"ServerShutdownGracePeriodToolTip","在此服务器关闭时间限制之外等待服务器清空的时间。"
"ServerShutdownHour","服务器关闭时间"
"ServerShutdownHourToolTip","服务器应在一天中的哪个小时关闭（0–24）。"
"ServerShutdownTimeLimit","服务器关闭时间限制"
"ServerShutdownTimeLimitToolTip","服务器可以运行直到应关闭的小时数。"
"ServerShutdownType","服务器关闭类型"
"ServerShutdownTypeToolTip","决定服务器应在指定小时关闭还是在设定运行时间后关闭。"
"ServerWebBanner","服务器网页横幅"
"ServerWebBannerToolTip","设置为JPG图片以在游戏中作为服务器横幅显示。\r\ne.g. ServerWebPage=www.images.com/myimage.jpeg\r\n推荐分辨率：788 × 386 px)"
"SpectatorOnlyPassword","仅旁观者密码"
"SpectatorOnlyPasswordToolTip","仅以旁观者身份加入服务器所需的密码。"
"ServerShutdownTypeAtHour","一天中的小时"
"ServerShutdownTypeAtHourTypeToolTip","服务器将在指定的小时等待关闭。"
"ServerShutdownTypeUpTime","运行时间"
"ServerShutdownTypeUpTimeToolTip","服务器将在运行指定小时后关闭（如果为空）。\r\n如果不为空，将在关闭前额外等待服务器关闭宽限期小时数。"
"RestartServer","立即重启服务器"
"ServerSettingsTitle","服务器设置"
"ServerRestartSettingsTitle","服务器重启设置"
"ConfirmServerRestartTitle","重启服务器"
"ConfirmServerRestartMessage","这将开始服务器关闭并踢出所有玩家。\n服务器需要一到两分钟才能重新上线。\n\n是否继续？"
"SubmittingServerSettings","正在提交服务器设置..."
"RequestingServerSettings","正在请求服务器设置..."
"FinishedSubmittingSettings","设置已提交。"
"ReceivedAllRequests","已收到所有请求。"
