"Key","SourceString"
"CampaignReturningSoonTooltip","感谢您测试我们战役任务演示的早期迭代！此模式将在未来版本中回归。"
"ConfirmTrainingModeTitle","训练模式"
"ConfirmQuitMessage","关闭 GROUND BRANCH 并返回桌面？"
"ConfirmQuitTitle","退出游戏"
"ConfirmTrainingModeMessage","部署至皮里训练营？"
"ConvertLegacyKitsCancelText","退出"
"ConvertLegacyKitsMessage","将装备套件转换至新版本？\n\n此操作不可撤销，且可能无法100%成功。\n\n退出将允许您手动删除或备份存储在以下位置的旧装备套件：\n{0}"
"ConvertLegacyKitsConfirmText","转换"
"ConvertLegacyKitsTitle","检测到旧版装备套件"
"ModSyncFailedMessage","同步模组失败。"
"ModSyncFailedTitle","模组同步失败"
"ModUpdateMessage","有 {0} 个模组需要更新或安装。\n是否立即进行？"
"ModUpdateTitle","模组更新"
"WriteAccessFailureMessage","请确保您的计算机对以下路径具有写入权限：\n{0}\n\n您可能需要将 GROUND BRANCH 添加到您正在运行的任何反病毒或反恶意软件的白名单中。"
"WriteAccessFailureTitle","写入权限"
"HostGameDetailedTooltip","创建自托管监听服务器，用于在线多人游戏。"
"CreditsLabel","制作人员"
"CreditsTooltip","GROUND BRANCH 的制作人员？"
"CustomizeOperatorLabel","自定义特勤干员"
"CustomizeOperatorTooltip","更改您的特勤干员外观和装备。"
"CustomizeOperatorTooltipWidget","自定义您的特勤干员外观和装备。"
"HostGameLabel","主持游戏"
"HostGameTooltip","创建监听服务器，用于在线多人游戏。"
"OperationsLabel","行动"
"OperationsTooltip","在单人模式或多人模式下游玩基于目标的 missions。"
"LoneWolfLabel","独狼"
"LoneWolfTooltip","作为单人特勤干员游玩快速任务。"
"ExitLabel","退出"
"ExitTooltip","关闭游戏并返回桌面。"
"ServerBrowserLabel","服务器浏览器"
"ServerBrowserTooltip","浏览在线多人游戏服务器列表。"
"SettingsLabel","设置"
"SettingsTooltip","视频、音频、控制和游戏选项。"
"SettingsTooltipWidget","更改控制、游戏玩法、视频和音频选项的偏好设置。"
"TrainingLabel","训练"
"TrainingTooltip","在各种训练环境中提升您的技能。"
"TrainingDeployTooltip","部署至中情局训练场 ""The Farm""。"
"ModdingLabel","模组编辑"
"FacilityName","The Farm"
"ModeName","训练"
"VersionFormat","V{0}"
"VersionPlaceholder","V1.0"
"UnknownBuild","未知构建版本"
