Key,SourceString,Comment
"intelretrieval","情报回收",""
"objective_RetrieveIntel","找到并回收情报设备","Opsboard"
"objective_ExfiltrateBluFor","撤离至撤离点","Opsboard"
"summary_IntelRetrieved","情报设备已回收","AAR"
"summary_BluForExfilFailed","未能抵达撤离点","AAR"
"summary_BluForEliminated","你的小队被全歼","AAR"
"missionsetting_teamexfil","以团队方式撤离","Opsboard"
"missionsetting_teamexfil_0","否","Opsboard"
"missionsetting_teamexfil_1","是","Opsboard"
"missionsetting_searchtime","搜索时间（秒）",
"missionsetting_displaysearchlocations","显示搜索位置",
"missionsetting_displaysearchlocations_0","无",
"missionsetting_displaysearchlocations_1","1",
"missionsetting_displaysearchlocations_2","2",
"missionsetting_displaysearchlocations_3","一半",
"missionsetting_displaysearchlocations_4","所有位置但仅一处有",
"missionsetting_displaysearchlocations_5","所有位置"
"missionsetting_proximityalert","笔记本接近提示",
"missionsetting_proximityalert_0","否",
"missionsetting_proximityalert_1","是",
"missionsetting_randomisetcount","敌人数随机化","Opsboard"
"missionsetting_randomisetcount_0","否",
"missionsetting_randomisetcount_1","少量",
"missionsetting_randomisetcount_2","大量",
"gamemessage_teamexfil","所有剩余队员必须到达撤离点。",""
"gamemessage_laptopdestroyed","情报设备已丢失，其位置已被重置。",""
"gamemessage_laptoppickedup","你已拾取情报设备。",""
"gamemessage_bumrushactivated","注意：敌人已发现你的存在。",""
"gamemessage_randomisedtcount","敌人数量已被随机化。",""
"intelretrieval_description","调查标记位置以找到情报设备。搜索设备确认情报是否存在，然后将其带回标记的撤离点。",
