"Key","SourceString"
"DeleteTitle","删除"
"ModsHidden","› 模组已隐藏。"
"ShowingModsOnly","› 仅显示模组。"
"HideModsLabel","隐藏模组"
"CategoryPathSegment","{0}/"
"PlaceholderTitle","标题"
"ShowModsOnlyLabel","仅显示模组"
"NoFiltersActive","未应用模组可见性筛选。"
"NoFiltersActiveStatus","› 未应用模组可见性筛选。"
"ShowingCustomBuildsOnly","› 仅显示自定义构建。"
"CategoryPrefix","前缀/"
"SaveLoadLabel","[保存/加载]"
"BuildsStacked","› 构建已堆叠。"
"BuildsNotStacked","› 构建未堆叠。"
"ModVisibilityTitle","模组可见性"
"ShowCustomOnlyLabel","仅显示自定义"
"CustomBuildDisplayTitle","自定义构建显示"
"SaveCurrentKitLabel","保存当前装备"
"PresetNameTitle","预设名称"
"FiltersTooltip","{0}
{1}"
"SaveLoadPreset","点击以保存或加载预设/装备。"
"PresetTitle","预设"
"PresetNameMessage","请为此预设输入名称。"
"StackBuildsDefaultLabel","堆叠构建（默认）"
