Key,SourceString
"DeathmatchObjective","击杀其他玩家直到满足比赛条件。"
"DefuseAttackerStartMessage","你有{0} {0}|plural(one=分钟,other=分钟)来拆除{1} {1}|plural(one=枚炸弹,other=枚炸弹)。"
"DefuseBombDefused","炸弹已拆除 — 剩余{0} {0}|plural(one=枚,other=枚)。"
"DefuseBombsDefused","所有炸弹已被定位并拆除。"
"DefuseBombsDetonated","炸弹已引爆。"
"DefuseBombsHit","流弹触发了炸弹。"
"DefuseObjective","定位并拆除所有炸弹（{0}/{1}）"
"DTASDefenderPrimary","防守旗帜区域。"
"DTASDefenderSecondary","将敌方队伍削弱至无效水平。"
"DTASAttackerPrimary","占领旗帜区域。"
"DTASAttackerSecondary","消灭敌方队伍。"
"DTASCaptureObjective","进攻方已占领旗帜。"
"DTASAttackerInProgress","找到并占领旗帜。"
"DTASAttackerSetup","等待防守方放置旗帜。"
"DTASDefenderInProgress","留在附近并防守旗帜。"
"DTASDefenderSetup","等待 {0} 放置旗帜。"
"DTASChosenSetup","你正携带旗帜。\n去放置它！"
"DTASRanOutOfAttackers","进攻方人数不足以占领旗帜。"
"DTASTimeRanOut","进攻方时间已用尽。"
"ExtractionHostageExtracted","已带着人质撤离。"
"ExtractionHostageKilled","人质被杀害。"
"ExtractionObjective1","解救的人质。"
"ExtractionObjective2","带着人质撤离。"
"FoxHuntDefenderPrimary","防守资产。"
"FoxHuntDefenderSecondary","消灭敌方队伍。"
"FoxHuntAttackerPrimary","猎杀资产。"
"FoxHuntAttackerSecondary","消灭敌方队伍。"
"FoxHuntFoxDied","防守方未能保护好资产。"
"FoxHuntTimeRanOut","防守方成功保护了资产。"
"FoxHuntAttackerInProgress","定位并消灭资产。"
"FoxHuntAttackerSetup","资产正在逃跑。"
"FoxHuntDefenderInProgress","保护 {0} 存活。"
"FoxHuntDefenderSetup","{0} 是资产。\n准备防守他们。"
"FoxHuntFoxSetup","你就是资产。"
"FoxHuntFoxInProgress","保持存活。"
"HostageRescueHostageExfilled","人质已撤离。"
"HostageRescueHostageFriendlyFire","人质被友军火力击杀。"
"HostageRescueHostageExecuted","人质被处决。"
"HostageRescueHostageSelfDefence","人质在自卫中被杀。"
"HostageRescueHostageSelf","人质死于自己之手。"
"IntelRetrievalIntelRetrieved","撤离到撤离点。"
"IntelRetrievalObjectiveExfil","撤离到撤离点。"
"IntelRetrievalObjectiveFind","定位并取回情报设备。"
"IntelRetrievalLaptopPickedUp","笔记本电脑已收集！\n前往撤离点。"
"IntelRetrievalLaptopDropped","笔记本电脑已掉落！\n取回它。"
"IntelRetrievalLaptopDestroyed","笔记本电脑已丢失！\n其位置已被重置。"
"LastManStandingObjective","成为最后一个存活者。"
"LastManStandingWinnerOther","{0}赢得了本回合。"
"LastManStandingWinnerSelf","你赢得了本回合。"
"TeamDeathmatchObjective","击杀敌方队伍的玩家直到满足比赛条件。"
"TeamEliminationObjective","定位并消灭敌方队伍的所有成员。"
"TerroristHuntLost","队伍已被全歼。"
"TerroristHuntObjective","定位并消灭区域内所有威胁。"
"TerroristHuntWon","所有威胁已被清除。"
"UplinkCaptureObjective","情报已从笔记本电脑中提取。"
"UplinkDefenderPrimary","防守笔记本电脑。"
"UplinkDefenderSecondary","消灭进攻队伍。"
"UplinkAttackerPrimary","定位并入侵笔记本电脑。"
"UplinkAttackerSecondary","消灭防守队伍。"
