"Key","SourceString"
"FreeAimDeadZone","自由瞄准（死区）"
"ResetPopInHints","重置弹出提示，使其再次显示（如同首次启动时）。"
"Ready","预备"
"MinPitchCenterToTop","最小俯仰（中心到顶部）"
"DefaultFireMode","默认射击模式"
"NvgOverlayScaleZoom","夜视仪 (NVG) 会真实地限制你的视野，导致大部分画面变黑。

此设置允许你调整 NVG 视图的屏幕大小，可以保持与常规视觉相同的比例，或通过自定义量放大以填充更多屏幕。

较大的值会使 NVG 视图占据更多屏幕空间，从而实现更大的缩放，但在近距离可能会引起方向迷失。"
"Maximum","最大"
"Auto","自动"
"NvgOverlayScaleZoomSetting","NVG 叠加缩放"
"Low","低"
"Attachments","附件"
"ResetDefaultLabel","重置为默认"
"DoNothing","不执行操作"
"DefaultReticleBrightnessLevel","默认准星亮度等级"
"NightVisionGoggles","夜视仪 (NVG)"
"Medium","中"
"SightPreferences","当安装多种类型的瞄准具时，此设置决定任务开始时默认使用哪种类型，以及在它们之间切换时的顺序。"
"DefaultPostAdsWeaponPosition","默认瞄准后武器位置"
"Engaged","交战"
"Look","视角"
"WeaponManipulation","武器操作"
"MinPitchCenterToTopTooltip","必须为负值才能正常工作。"
"HideModdedPatches","如果为是，则仅显示默认臂章。

模组臂章将被默认备用臂章替换。"
"DefaultPostAdsWeaponPositionInfo","瞄准后返回的武器位置。"
"MaxYawSideToSide","此设置当前有缺陷。"
"TurnOff","关闭"
"Combat","战斗"
"LowReady","低姿预备"
"High","高"
"HideModdedPatchesSetting","隐藏模组臂章"
"ModdingPreferences","模组偏好"
"FullAuto","全自动"
"DefaultReticleBrightnessLevelInfo","如果装备了具有可调节准星亮度的武器瞄准具，此设置决定游戏开始时的亮度等级。自动会根据一天中的时间选择亮度等级——在白天部署会选择较亮的等级，而在较暗的时刻会选择较暗的等级。"
"LimitMaxFreelookAngle","限制最大自由视角角度"
"Burst","点射"
"ResetFreelookToPointOfAim","释放自由视角时是否将视角重置为武器朝向的方向。"
"HighReady","高姿预备"
"MaxPitchCenterToBottom","最大俯仰（中心到底部）"
"DefaultWeaponPosition","默认武器位置"
"ResetFreelookToPointOfAimSetting","自由视角重置至瞄准点"
"MaxYawSideToSideSetting","最大偏航（左右）"
"Freelook","自由视角"
"PreviousItem","上一个物品"
"SemiAuto","半自动"
"SightPreferencesSection","瞄准具偏好"
"AfterGrenadeThrowEquip","投掷手榴弹后装备……"
"DefaultWeaponPositionInfo","在准备室外重生或重新部署时使用的武器位置。"
"ModContent","模组内容"
"LimitMaxFreelookAngleInfo","设置为否以允许角色在达到最大颈部角度后旋转身体。"
"Toggle","切换"
"Minimum","最小"
"LightIrIlluminatorBehaviorOnNvgToggle","灯光/红外照明器在 NVG 切换时的行为"
"LastUsed","上次使用的"
