"Key","SourceString"
"BRIAN","BRIAN"
"BTH","BTH"
"Charles","CHARLES"
"CHRIS","CHRIS"
"CIATrainingSiteClandestineOfficers","弗吉尼亚州皮里营的CIA秘密行动官员训练基地。拥有多个射击场和击杀屋供练习使用。"
"Coomzy","COOMZY"
"DAVID","DAVID"
"Fatmarrow","FATMARROW"
"George","GEORGE"
"TestNightTimeShootingSetup","前往此处测试你的夜间射击配置。你可能需要先装备夜视仪或夜视瞄准镜。"
"TestSelectedWeaponsTweakLoadout","前往此处测试你选择的武器，并在武器台上调整你的装备。"
"JESSE","JESSE"
"JOHN","JOHN"
"Jonathan","JONATHAN"
"KRIS","KRIS"
"Locked","已锁定"
"MIKE","MIKE"
"Mikson","MIKSON"
"OperationProgressHeadReadyRoom","行动进行中
前往准备室
整装待发"
"PAU","PAU"
"Prowlaz","PROWLAZ"
"Psychopigeon","PSYCHOPIGEON"
"Scopey","SCOPEY"
"Sergio","SERGIO"
"Target","靶标进入"
"TargetWBPPressForwardButtonCWidgetTreeTextBlock1","靶标离开"
"OriginalBest","经典原作"
"Travis","TRAVIS"
"WILL","WILL"
"Zachary","ZACHARY"
"ZACK","ZACK"
