"Key","SourceString"
"ServerNotFoundMessage","找不到该 IP 地址的服务器。"
"ServerNotFoundTitle","未找到服务器"
"ModSyncFailedMessage","模组同步失败。"
"EnterServerIpTitle","输入服务器 IP 地址"
"PasswordRequiredTitle","需要密码"
"ModSyncFailedTitle","连接失败"
"WhitelistServerMessage","此服务器使用白名单。只有管理员和白名单上的玩家可以加入。"
"WhitelistServerTitle","白名单服务器"
"WrongServerVersionMessage","服务器与客户端版本不匹配。

您尝试连接的服务器可能需要更新。

如果您在测试分支中运行，请尝试退出该分支，更新后重试。"
"WrongVersionTitle","版本不匹配"
"Title","服务器浏览器"
"AnyMapOption","任意"
"AllGameModesOption","全部"
"HideFiltersLabel","隐藏筛选"
"ShowFiltersLabel","显示筛选"
"FiltersHeading","筛选"
"HideMismatchedVersionsLabel","隐藏版本不匹配"
"HideKitRestrictedServersLabel","隐藏装备限制服务器"
"HideFullServersLabel","隐藏已满服务器"
"HideEmptyServersLabel","隐藏空服务器"
"HidePasswordLockedServersLabel","隐藏密码锁定服务器"
"HideModdedServersLabel","隐藏模组服务器"
"GameModeLabel","游戏模式"
"SearchServersHint","搜索服务器…"
"ConnectingLabel","连接中"
"NetworkVersionFormat","网络版本：{0}"
"NetworkVersionPlaceholder","文本块"
"RequestingRulesLabel","请求规则中"
"ServerFailedToRespondMessage","服务器无响应。"
"RefreshLabel","刷新"
"StopLabel","停止"
"ConnectLabel","连接"
"SpectateLabel","旁观"
"ConnectViaIpLabel","通过 IP 连接"
"InternetLabel","互联网"
"FavoritesLabel","收藏"
"FriendsLabel","好友"
"HistoryLabel","历史"
"LanLabel","局域网"
"ServerTabLabel","服务器"
"ServerTabTooltip","按服务器名称排序（字母顺序）"
"GameModeTabTooltip","按游戏模式排序（字母顺序）"
"MapTabLabel","地图/任务"
"MapTabTooltip","按地图/任务排序，包括任务变体名称（字母顺序）"
"PlayersTabLabel","玩家"
"PlayersTabTooltip","按玩家数量排序"
"PingTabLabel","延迟"
"PingTabTooltip","按延迟毫秒 (ms) 排序。延迟较高的服务器通常更卡。100以下通常较好；超过200可能开始无法游玩。"
"ModdingTabTooltip","按模组排序。点击服务器条目查看正在运行的模组。"
"PasswordTabTooltip","按密码排序。挂锁图标表示该服务器需要密码才能加入。"
"FavoritesTabTooltip","按收藏排序。要将服务器添加到收藏标签，请点击服务器名称旁的星形图标。"
"MapColumnLabel","地图"
