Key,SourceString
"MapVoteTimeout","地图投票超时"
"MapVoteTimeoutToolTip","在允许再次更改地图之前等待的秒数。"
"MinPlayers","最少玩家数"
"MinPlayersToolTip","进行投票所需的最少玩家数量。"
"VoteDelayFromRoundStart","回合开始后的投票延迟"
"VoteDelayFromRoundStartToolTip","从回合开始到允许投票的分钟数。"
"VoteDuration","投票持续时间"
"VoteDurationToolTip","玩家进行投票的秒数。"
"VoteFailedTimeout","投票失败超时"
"VoteFailedTimeoutToolTip","如果投票失败，两次投票之间等待的秒数。"
"VoteSucceededTimeout","投票成功超时"
"VoteSucceededTimeoutToolTip","如果投票成功，两次投票之间等待的秒数。"
"bAllowVotesWhenAdminPresent","允许管理员在场时投票"
"bAllowVotesWhenAdminPresentToolTip","设置为"True"以允许即使管理员在线时也能进行投票。"
"VoteSettingsTitle","投票设置"
"RequestingVoteSettings","正在请求投票设置..."
"SubmittingVoteSettings","正在提交投票设置..."
