Key,SourceString
"Alpha","Alpha"
"AutoSwapTeamWarning","队伍即将交换。"
"BeginGame","准备..."
"Blue","BLUE"
"BluFor","BLUFOR"
"Bravo","Bravo"
"Charlie","Charlie"
"Delta","Delta"
"EliminatedAttackers","所有进攻方已被消灭。"
"EliminatedDefenders","所有防守方已被消灭。"
"EliminatedEveryone","所有人已被消灭。"
"EliminatedOtherTeam","{0}的所有人已被消灭。"
"FragLimitReached","击杀上限已达到。"
"FragLimitRemaining","{0} {0}|plural(one=击杀剩余,other=击杀剩余)。"
"GameRuleDisabled","{0} 已被禁用。"
"GameRuleEnabled","{0} 已被启用。"
"LocalPlayerChangedTeam","你从{0}队伍切换到了{1}队伍。"
"LocalPlayerJoinedTeam","你现在在{0}队伍。"
"LocalPlayerLeftTeam","你已不再属于任何队伍。"
"MultipleTeamsNeedPlayers","有{0}个队伍需要更多玩家。"
"NonTeamGameNeedsPlayers","等待 {0} {0}|plural(one=更多玩家,other=更多玩家)。"
"NonTeamRequirementsMet","已有足够玩家加入。"
"NotApplicable","N/A"
"NoTeam","NOTEAM"
"ObjectiveCompleted","已完成"
"ObjectiveFailed","失败"
"PlayerChangedTeam","{0}从{1}队伍切换到了{2}队伍。"
"PlayerJoined",">> {0} 已加入服务器。"
"PlayerJoinedTeam","{0}加入了{1}队伍。"
"PlayerLeft","<< {0} 已离开服务器。"
"PlayerLeftTeam","{0}已离开{1}队伍。"
"PlayerNameChange","{0}将名称改为{1}。"
"RandomMissionName","行动 {0} {1}"
"Red","RED"
"RejectedName","玩家名称"{0}"已被拒绝。"
"ResultDefeat","战败"
"ResultVictory","胜利"
"RoleAttacker","进攻方"
"RoleDefender","防守方"
"RoundIncomplete","回合无法完成。\n返回到准备室。"
"RoundLimitReached","回合上限已达到。\n下一张地图：{0}"
"RoundResultDefeat","战败"
"RoundResultVictory","胜利"
"ServerShuttingDown","服务器计划即将重启。"
"SetTeamElement","设置队伍元素"
"ShowRemaining","剩余 {0} {0}|plural(one=敌人,other=敌人)。"
"SingleTeamNeedsPlayers","{0}需要更多玩家。"
"SummaryTimeElapsed","已用时间"
"Team0","NOTEAM"
"Team1","BLUE"
"Team2","RED"
"TeamExfilWarning","所有玩家需要到达撤退区域才能撤离。"
"TeamNeedsNumPlayers","{0}队伍需要{1} {1}|plural(one=更多玩家,other=更多玩家)。"
"TeamRequirementsMet","队伍要求已满足。"
"TeamRoleAttacker","进攻中"
"TeamRoleDefender","防守中"
"Tie","平局"
"TimeLimitReached","时间限制已达到。"
"TimeRanOut","时间已用尽。"
"TimeRemaining","剩余时间"
"Unknown","未知"
"YourTeamRole","{0}队伍正在{1}"
"RoundWinner","{0}赢得了本回合。"
"RoundWinnerSelf","你赢得了本回合。"
"RoundWinnerTeam","{0}赢得了本回合。"
"GameWinner","{0}赢得了比赛。"
"GameWinnerSelf","你赢得了比赛。"
"GameWinnerTeam","{0}赢得了比赛。"
"RoundTied","本回合平局。"
"GameTied","比赛平局。"
