"Key","SourceString"
"ResetDefaultLabel","重置为默认"
"InteractionRingColor","互动环颜色"
"BottomLeft","左下"
"ShowInteractionPrompts","显示互动提示"
"GrenadeImpactColor","手榴弹冲击颜色"
"ScreensaverHud","启用后，此设置可以通过以随机间隔略微移动屏幕上的静态 HUD 元素，帮助防止 OLED、CRT 和等离子显示器出现烧屏现象。

LCD 和普通 LED 显示器通常不易烧屏，因此此功能对大多数玩家来说是多余的。"
"ShowSpectatorControls","显示观察者控制"
"ResetDialogBoxes","取消你在对话框中选择的不再提示选项"
"ShowPopInHints","显示弹出提示"
"ChatDisplayTime","文字聊天消息在淡出前应在屏幕上显示多少秒。"
"Miscellaneous","杂项"
"BottomRight","右下"
"RadialMenuSensitivity","径向菜单灵敏度"
"MaxChatMessages","允许在屏幕上同时显示多少条文字聊天消息后开始淡出。"
"MaxChatMessagesSetting","最大聊天消息数"
"ResetPopInHints","重置弹出提示，使其再次显示（如同首次启动时）。"
"ShowStanceCrouched","显示姿势：下蹲"
"ShowStanceStanding","显示姿势：站立"
"ShowStanceStandingInfo","是否显示角色站立时的姿势指示器。"
"FreeAimMaxYaw","此设置当前有缺陷。"
"ChatDisplayTimeSeconds","聊天显示时间（秒）"
"GrenadeHud","手榴弹 HUD"
"ShowInteractionRing","显示互动环"
"ShowInteractionPromptsInfo","是否显示世界互动的按键提示。"
"ScreensaverHudSetting","屏幕保护 HUD"
"ResetHintsLabel","重置提示"
"MiscellaneousOptions","杂项选项"
"InteractionHud","互动 HUD"
"ResetPopInHintsSetting","重置弹出提示"
"InteractionRingSize","互动环大小"
"TextChat","文字聊天"
"FreeAimMinPitch","必须为负值才能正常工作。"
"DisplayFriendlyNameTagsInGame","是否在 Lone Wolf 模式下显示友方机器人名字标签（在服务器上，使用显示友好名称标签服务器规则代替）。"
"ResetDialogBoxesLabel","重置对话框"
"Hud","HUD"
"ShowNetInfo","是否在屏幕左上角显示网络信息（ping、上传/下载数据和数据包）。仅与在线游戏相关。"
"ShowSpectatorControlsInfo","是否在观察者模式中显示控制选项。"
"CharacterInfo","角色状态"
"StanceHudPosition","角色状态 HUD 位置"
"GrenadeArcColor","手榴弹弧线颜色"
"Other","其他"
"ShowArmor","是否在 HUD 中显示护甲（头盔、防弹衣或防弹板）的状态图标（如果已装备）。"
"ShowStanceCrouchedInfo","是否显示角色下蹲时的姿势指示器。"
"ShowStanceProne","显示姿势：匍匐"
"DisplayFriendlyNameTagsInGameSetting","在游戏中显示友好名称标签"
"ShowArmorSetting","显示护甲"
"ShowStanceProneInfo","是否显示角色匍匐时的姿势指示器。"
"ShowNetInfoSetting","显示网络信息"
"ShowPopInHintsInfo","是否显示某些游戏内动作和互动的上下文提示。"
