"Key","SourceString"
"BannedForReason","您已被服务器封禁，原因：
""{0}"""
"PlayerLimitReduced","抱歉——由于游戏模式或服务器设置更改，玩家上限已降低。"
"ServerAtCapacity","无法加入——服务器已满。"
"KickedForReason","您已被踢出服务器，原因：
""{0}"""
"RemovedForAdminSlot","抱歉——您已被移出服务器，因为管理员需要加入。"
"AdminSlotClaimedTitle","管理位已被占用"
"BanExpiresMessage","此封禁将于 {0} 到期"
"ConnectionFailedMessage","由于未知原因，您的服务器连接失败。"
"ConnectionLostMessage","您与主机的连接已断开。"
"ConnectionTimedOutMessage","您的服务器连接已超时。"
"ErrorStringProvidedMessage","提供的错误字符串：{0}"
"FailureReceivedMessage","连接尝试失败，但未提供有效原因。"
"GenericReasonMessage","连接到游戏时发生错误。"
"PlayerLimitChangedTitle","玩家上限已更改"
"NetChecksumMismatchMessage","客户端的校验和与服务器接收的不匹配。"
"NetDriverAlreadyExistsMessage","侦听服务器已存在网络驱动程序。"
"NetDriverCreateFailureMessage","为侦听服务器创建网络驱动程序失败。"
"NetDriverListenFailureMessage","网络驱动程序的 Listen() 调用失败。"
"NetGuidMismatchMessage","客户端的全局唯一标识符 (GUID) 与服务器接收的不匹配。"
"MissingSteamIdMessage","没有唯一有效的 Steam ID，您无法加入服务器。"
"MissingSteamIdTitle","缺少 Steam ID"
"NetworkVersionMismatchMessage","客户端/服务器网络版本不匹配，请尝试升级您的游戏版本或联系服务器管理员升级他们的版本。"
"OutdatedClientMessageFragment","您的客户端 "
"PasswordRequiredMessage","未指定密码。"
"PendingConnectionFailureUnknownMessage","由于未知原因，待处理的服务器连接失败。"
"PendingConnectionFailureWithErrorMessage","待处理的服务器连接失败。"
"PermanentBanMessage","此封禁是永久性的。"
"ServerFullTitle","服务器已满"
"WrongPasswordTitle","密码错误"
"TimeoutSuggestionMessage","服务器可能已被关闭或重启。"
"WrongPasswordMessage","此服务器受密码保护。"
"FailureTypeLabel","网络故障类型"
